INT	STRING	STRING	STRING	STRING	STRING	INT	INT
Id	Questions	Option1	Option2	Option3	Option4	Answer	Type
1	沉鱼落雁，闭月羞花中的沉鱼是指谁？	西施	王昭君	貂蝉	杨玉环	1	0
2	沉鱼落雁，闭月羞花中的落雁是指谁？	西施	王昭君	貂蝉	杨玉环	2	0
3	沉鱼落雁，闭月羞花中的闭月是指谁？	西施	王昭君	貂蝉	杨玉环	3	0
4	沉鱼落雁，闭月羞花中的羞花是指谁？	西施	王昭君	貂蝉	杨玉环	4	0
5	传说中的巫山神女名叫？	瑶姬	侍姬	蔡文姬	甄姬	1	0
6	“大珠小珠落玉盘”所形容的是什么乐器的弹奏声？	琵琶	古筝	箜篌	编钟	1	0
7	被称为“诗圣”的唐代诗人是谁？	杜甫	李白	白居易	李宗元	1	0
8	《窦娥冤》的作者是谁？	关汉卿	白朴	郑光祖	马致远	1	0
9	围棋棋盘共有几个交叉点？	361	359	360	362	1	0
10	中世纪欧洲医生流行佩戴鸟嘴面具，戴着帽子，全身披着防油布制成的大衣，请问这是为什么？	防止感染黑死病	吓唬小孩	参加化妆舞会	彰显身份	1	0
11	“孑孓”是那种动物的幼虫？	蚊子	苍蝇	蜻蜓	蝴蝶	1	0
12	被称为“诗鬼”的诗人是谁？	李贺	白居易	李白	杜甫	1	0
13	五岳中的中岳是指哪座山？	嵩山	华山	泰山	衡山	1	0
14	《七侠五义》中白玉堂号称？	锦毛鼠	翻江鼠	穿山鼠	飞天鼠	1	0
15	著名漫画人物“忍者神龟”的眼带没有哪种颜色？	绿	紫	红	蓝	1	0
16	诗句“狂风吹我心”的下一句是什么？	西挂咸阳树	随风潜入夜	戎马关山北	青山郭外斜	1	0
17	《孙子兵法》的作者是谁？	孙武	孙膑	孙策	孙权	1	0
18	《梦的解析》一书的作者是？	西蒙·弗洛伊德 	卢西安·弗洛伊德	平克·弗洛伊德	萨尔瓦多·弗洛伊德 	1	0
19	馒头是谁发明的？	诸葛亮	诸葛不亮	诸葛黑	诸葛很黑	1	0
20	五谷中的菽是指什么？	大豆	水稻	小米	小麦	1	0
21	“黄梅戏”是哪个省的地方戏？	安徽	江苏	浙江	河南	1	0
22	校园歌曲《童年》的词曲作者是？	罗大佑	老狼	高晓松	周杰伦	1	0
23	爱因斯坦因什么发现获得诺贝尔奖？	光电效应	狭隘相对论	广义相对论	引力场论	1	0
24	西湖白堤是因纪念哪位诗人而得名？	白居易	苏轼	陆游	欧阳修	1	0
25	被称为“瓷都”的是指哪一城市？	景德镇	唐栖镇	震泽镇	盛泽镇	1	0
26	山重水复疑无路，柳暗花明又一村是谁的诗句？	陆游	柳宗元	杜牧	李商隐	1	0
27	《魔兽世界》中的联盟英雄吉安娜是什么职业？	法师	武僧	死亡骑士	潜行者	1	0
28	著名漫画《圣斗士星矢》中仙女座圣斗士瞬的武器叫什么？	星云锁链	心塞锁链	星尘锁链	猩猩锁链	1	0
29	著名漫画《名侦探柯南》因为其故事特点而被网友称为什么？	死神小学生	名侦探柯抖	东京爱情故事	逆天小学生	1	0
